cluster_id,category,complaints,start_date,end_date,active_months,trend_raw,severity_mean,lat,lon,wards,outgoing_relation_strength,incoming_relation_strength,out_degree,in_degree,frequency_score,persistence_score,trend_score,severity_score,density_score,network_score,priority_score_v4,priority_rank
74,Waterlogging,57,2024-01-30,2026-07-23,29,0.007894736842105255,3.789473684210526,23.151652714035087,79.92897302807019,"12,13",1.418,1.593,2.0,2.0,91.8933405122194,100.0,1.3157894736842086,74.79224376731302,35.10971786833856,63.16341514579401,65.21,1
7,Drainage,71,2024-01-01,2026-08-22,28,-0.00702160175127006,2.816901408450704,23.15058634366197,79.92949537464789,"10,12,13,14",1.629,1.604,2.0,2.0,100.0,96.29629629629629,0.0,44.54478064559606,55.84415584415584,67.82043213761277,62.71,2
20,Garbage Collection,71,2024-03-08,2026-08-07,26,-0.003666045214557692,2.915492957746479,23.150999447887326,79.92947910281691,"12,13,14",1.638,1.488,2.0,2.0,100.0,88.88888888888889,0.0,47.61102500168476,62.93706293706294,65.5758338577722,62.28,3
48,Pothole,52,2024-01-22,2026-07-27,28,-0.0021634615384615785,3.730769230769231,23.183024186538457,79.93538675192309,"24,26",0.682,0.0,1.0,0.0,88.51338611717253,96.29629629629629,0.0,72.9665071770335,31.168831168831172,14.306691839731489,53.69,4
1,Damaged Road,53,2024-01-25,2026-08-19,26,0.006750401150888083,3.7547169811320753,23.185198464150947,79.93587141886793,"24,26,40",0.0,0.682,0.0,1.0,89.21419353087734,88.88888888888889,1.1250668584813468,73.71129367157174,37.76223776223775,14.306691839731489,53.46,5
0,Damaged Road,27,2024-06-04,2026-07-25,19,0.008888888888888877,3.7037037037037037,23.1774258962963,79.92988245185185,"22,24,25",1.381,1.5550000000000002,2.0,2.0,64.59014618583477,62.96296296296296,1.481481481481479,72.12475633528265,15.311004784688995,61.590098594503885,50.84,6
50,Pothole,27,2024-07-03,2026-08-16,17,-0.006913580246913599,4.592592592592593,23.2054904037037,79.94893723333334,61,0.0,0.0,0.0,0.0,64.59014618583477,55.55555555555556,0.0,99.76962608541557,21.3903743315508,0.0,43.72,7
28,Garbage Collection,47,2024-07-26,2026-08-16,22,0.027044917257683217,3.0,23.12254825106383,79.9033121425532,4,0.0,0.0,0.0,0.0,84.79825958995214,74.07407407407408,4.507486209613868,50.23923444976077,41.32231404958677,0.0,43.45,8
75,Waterlogging,15,2024-06-01,2024-09-26,4,-0.026666666666666894,3.3333333333333335,23.21212338,79.90567012000001,72,0.711,2.195,1.0,3.0,43.6089723007337,7.4074074074074066,0.0,60.606060606060616,100.0,60.96077197398784,42.89,9
46,Pothole,22,2024-07-08,2025-11-12,13,-0.00189393939393939,4.045454545454546,23.1773255,79.92875887727273,"22,25",0.791,0.704,1.0,1.0,57.215063177915546,40.74074074074074,0.0,82.75337103088302,25.174825174825173,31.361443255716388,42.66,10
27,Garbage Collection,43,2024-11-05,2026-08-21,21,0.025711396793297706,3.0232558139534884,23.143888841860466,79.95256643720931,3,0.0,0.0,0.0,0.0,81.53601990701421,70.37037037037037,4.28523279888295,50.96250139089798,38.09523809523809,0.0,41.99,11
40,Illegal Dumping,21,2025-03-10,2026-08-23,13,0.055727554179566534,2.6666666666666665,23.161704004761905,79.93713370476192,33,1.642,1.467,2.0,2.0,55.548473027843684,40.74074074074074,9.287925696594419,39.87240829346093,22.377622377622377,65.21921543947975,41.33,12
76,Waterlogging,5,2025-06-18,2025-08-20,3,0.6000000000000002,3.6,23.210790480000004,79.90717472000001,72,0.608,1.389,1.0,2.0,6.835618952440489,3.7037037037037033,100.0,68.89952153110049,24.242424242424246,41.89217537235159,41.06,13
